Hessian ranking (weighted sum * eigenvalue) for model (param idx, rank)
14, 2168.24560546875
6, 1354.6710205078125
38, 982.3023071289062
426, 740.95068359375
54, 522.9634399414062
438, 476.6130065917969
938, 452.78277587890625
30, 451.4858703613281
330, 433.01031494140625
950, 302.69970703125
1706, 295.70184326171875
554, 287.56524658203125
1713, 282.43096923828125
342, 272.4875183105469
433, 272.2781677246094
35, 241.1239013671875
234, 238.02516174316406
8, 229.45042419433594
58, 229.2512664794922
22, 228.68748474121094
429, 222.4401092529297
36, 204.09666442871094
1617, 197.08938598632812
436, 196.3103485107422
1610, 195.94805908203125
936, 191.9956817626953
32, 187.41513061523438
1, 185.0467071533203
1323, 183.33529663085938
2026, 176.2389373779297
1898, 176.2389373779297
1386, 176.2389373779297
1514, 176.2389373779297
406, 174.99319458007812
1882, 174.29733276367188
2010, 174.29733276367188
1498, 174.29733276367188
1370, 174.29733276367188
1754, 171.65167236328125
90, 170.63108825683594
333, 170.2422637939453
1130, 166.20089721679688
106, 165.4738311767578
62, 165.05738830566406
618, 164.65940856933594
1227, 163.03631591796875
986, 162.30380249023438
394, 160.49746704101562
602, 160.21380615234375
1770, 154.266357421875
1242, 153.9443817138672
7, 153.41993713378906
1258, 153.07826232910156
858, 148.39625549316406
431, 144.4759521484375
435, 144.32553100585938
474, 142.2427215576172
337, 141.72569274902344
439, 140.06483459472656
954, 138.3114471435547
1002, 137.5794677734375
945, 136.147705078125
1626, 136.01177978515625
425, 134.8701934814453
340, 130.8763427734375
399, 125.45854949951172
401, 123.5791244506836
19, 121.35981750488281
937, 121.11538696289062
559, 120.37548828125
396, 118.9427719116211
1114, 118.92396545410156
553, 115.90868377685547
218, 115.3747787475586
246, 115.35742950439453
343, 113.17201232910156
1642, 112.96001434326172
566, 110.00948333740234
1197, 104.37879180908203
942, 100.34874725341797
403, 100.2427978515625
1066, 100.14415740966797
432, 99.51927185058594
746, 99.03206634521484
1322, 98.72216033935547
941, 96.83474731445312
1834, 95.69815063476562
842, 94.87833404541016
966, 94.61241912841797
395, 90.16062927246094
1324, 89.61974334716797
428, 89.427001953125
874, 86.51468658447266
730, 86.47525024414062
336, 85.79136657714844
1228, 85.47344207763672
948, 85.13400268554688
332, 81.0121841430664
437, 80.70697021484375
65, 80.24790954589844
177, 78.08131408691406
427, 76.6110610961914
1782, 74.40629577636719
1226, 74.23509979248047
1254, 73.54625701904297
1325, 73.39498138427734
1654, 72.9137191772461
570, 72.75137329101562
1638, 72.1636734008789
329, 72.00625610351562
1270, 71.75843811035156
4, 71.67855834960938
1334, 71.283203125
490, 70.63758087158203
1126, 70.47055053710938
1194, 69.30529022216797
334, 67.9841537475586
1238, 67.13567352294922
1715, 67.05382537841797
46, 65.68401336669922
70, 65.64258575439453
1714, 64.81959533691406
840, 64.30052185058594
557, 64.27932739257812
27, 64.09032440185547
1850, 63.922706604003906
362, 63.57087326049805
1229, 63.45183181762695
1526, 63.418975830078125
1398, 63.418975830078125
1910, 63.418975830078125
2038, 63.418975830078125
1382, 63.287818908691406
1510, 63.287818908691406
1894, 63.287818908691406
2022, 63.287818908691406
1766, 63.23173522949219
630, 62.654903411865234
346, 61.682708740234375
402, 60.980377197265625
51, 60.57217025756836
1078, 60.538455963134766
1709, 59.691871643066406
118, 59.42086410522461
614, 59.328277587890625
434, 59.19436264038086
300, 58.46690368652344
161, 58.16071319580078
405, 57.61112976074219
430, 57.593231201171875
48, 56.735374450683594
1704, 56.41933822631836
310, 56.36985397338867
102, 55.78409194946289
961, 55.766456604003906
458, 55.66937255859375
563, 55.598045349121094
397, 55.55848693847656
328, 55.10053634643555
233, 54.984745025634766
1619, 54.720149993896484
66, 54.028350830078125
998, 52.62205123901367
378, 52.50685119628906
1846, 52.17119598388672
1142, 51.10869598388672
957, 51.079132080078125
1835, 50.945838928222656
1069, 50.80366516113281
1618, 50.46284866333008
1333, 50.1383171081543
237, 49.95287322998047
301, 48.751102447509766
1237, 47.868202209472656
870, 47.73378372192383
393, 47.61487579345703
60, 47.3228759765625
1326, 46.932472229003906
1729, 46.52639389038086
906, 45.992149353027344
173, 45.86196517944336
964, 45.76115798950195
847, 45.23313903808594
232, 45.07304000854492
298, 44.71507263183594
924, 44.62444305419922
572, 44.48539733886719
918, 44.16117858886719
486, 44.15521240234375
244, 43.46266555786133
560, 43.210575103759766
1232, 43.20637893676758
558, 43.0411491394043
940, 43.01924133300781
1718, 42.88444137573242
230, 42.56619644165039
29, 42.52202224731445
424, 42.33252716064453
11, 42.03274917602539
1235, 41.195045471191406
1328, 40.55848693847656
922, 40.52243423461914
1331, 40.519325256347656
1230, 39.856021881103516
943, 39.75340270996094
1075, 39.38335037231445
1257, 39.25785827636719
555, 38.89143753051758
817, 38.6157341003418
1838, 38.5869026184082
404, 38.460899353027344
1014, 38.32652282714844
1241, 38.27238082885742
1203, 38.21969985961914
316, 37.76581573486328
44, 37.764305114746094
1769, 37.7465934753418
157, 37.70133972167969
841, 37.61174011230469
561, 37.554744720458984
958, 37.41311264038086
556, 37.177978515625
1133, 37.03388977050781
12, 36.533267974853516
1897, 35.72069549560547
1385, 35.72069549560547
1513, 35.72069549560547
2025, 35.72069549560547
1117, 35.571502685546875
1369, 35.422218322753906
1497, 35.422218322753906
2009, 35.422218322753906
1881, 35.422218322753906
1213, 35.393310546875
854, 35.20893096923828
241, 35.172218322753906
169, 34.93400192260742
1862, 34.92238235473633
326, 34.85136795043945
534, 34.83631134033203
99, 34.754058837890625
1753, 34.610774993896484
1036, 34.592533111572266
944, 34.458152770996094
1113, 34.3831672668457
115, 34.304439544677734
307, 34.296722412109375
1641, 34.29171371459961
239, 34.17073440551758
353, 34.16520690917969
904, 33.89863586425781
390, 33.81591796875
1625, 33.436519622802734
1128, 33.38045120239258
383, 33.35969161987305
1162, 33.318603515625
238, 33.30223083496094
168, 32.97169494628906
934, 32.643280029296875
952, 32.60127258300781
1635, 32.47476577758789
953, 32.43834686279297
758, 31.987354278564453
522, 31.940759658813477
25, 31.756301879882812
317, 31.665332794189453
1779, 31.55950355529785
1622, 31.5037784576416
912, 31.44365119934082
1263, 31.421833038330078
1165, 31.352413177490234
463, 31.237995147705078
735, 31.235675811767578
985, 31.20119285583496
617, 30.92028045654297
1247, 30.8583984375
564, 30.79433822631836
105, 30.773868560791016
89, 30.66631507873535
1065, 30.55034065246582
1907, 30.525876998901367
1523, 30.525876998901367
1395, 30.525876998901367
2035, 30.525876998901367
1775, 30.523712158203125
243, 30.351024627685547
601, 30.285541534423828
1219, 30.1905574798584
939, 30.103816986083984
1707, 30.045005798339844
1199, 29.935667037963867
369, 29.895143508911133
1891, 29.850549697875977
2019, 29.850549697875977
1379, 29.850549697875977
1507, 29.850549697875977
1859, 29.701908111572266
567, 29.434066772460938
1854, 29.362653732299805
1274, 29.322927474975586
16, 29.250402450561523
