Hessian ranking for layer conv2d_0_m (param idx, rank)
1, 1.6676964012440294
4, 1.5399712398648262
20, 1.132688619196415
52, 1.1097295731306076
9, 1.018589561805129
68, 0.8215732835233212
12, 0.789959697984159
11, 0.7024272307753563
2, 0.6945826336741447
65, 0.6856420361436903
34, 0.677257988601923
25, 0.6339105069637299
22, 0.6217740466818213
33, 0.6129024177789688
60, 0.5632619094103575
49, 0.5584022630937397
28, 0.5445985272526741
3, 0.42589119728654623
13, 0.4056870066560805
44, 0.3938484340906143
0, 0.3884357027709484
42, 0.3384508565068245
36, 0.32427674159407616
41, 0.23472222313284874
37, 0.17462535947561264
51, 0.17441946733742952
53, 0.15293783321976662
31, 0.14350782334804535
32, 0.13364535942673683
30, 0.12472605239599943
17, 0.09717308594554197
19, 0.09463479439727962
40, 0.08514316962100565
21, 0.08412628970108926
26, 0.08248276077210903
10, 0.06057199672795832
8, 0.060366467107087374
57, 0.05768070835620165
27, 0.036730718333274126
58, 0.03307105554267764
5, 0.0324043040163815
46, 0.02484730546711944
24, 0.01884997182060033
48, 0.017543501904583536
59, 0.017470633320044726
39, 0.015147740021348
61, 0.006119303947343724
63, 0.002920566839748062
15, 0.0004708677370217629
6, 0.0
16, 0.0
14, 0.0
7, 0.0
71, 0.0
18, 0.0
23, 0.0
69, 0.0
67, 0.0
66, 0.0
64, 0.0
62, 0.0
56, 0.0
55, 0.0
54, 0.0
50, 0.0
47, 0.0
45, 0.0
43, 0.0
38, 0.0
70, 0.0
29, 0.0
35, 0.0
