bit_index, EMD
5, 2.3896244681934165
240, 2.055341134796515
5825, 1.977777681572585
165, 1.961741187858911
45, 1.8845759970468594
250, 1.8474087329590083
6, 1.7998147736668484
8145, 1.7980255116348676
2370, 1.7745019090332985
80, 1.7613198617854502
166, 1.712632148619657
35, 1.7068887268776818
8160, 1.6863758879441182
4325, 1.6728067788550338
125, 1.6663438472634033
4965, 1.651742857256626
75, 1.6434408643759664
160, 1.6424177362695203
1730, 1.6409334598927863
8190, 1.6277274809842
320, 1.6259396667522932
8785, 1.6255350775368864
8170, 1.6159335579530865
8705, 1.6137601643333979
2385, 1.597133790388761
0, 1.5941759559200501
1, 1.575649725627846
11, 1.5750364018389011
46, 1.5648157232423368
4320, 1.563415133788454
2406, 1.5588439230421227
4330, 1.5488075043763674
21, 1.5422123450349172
5855, 1.536352866600399
65, 1.532034341020491
4350, 1.5315880789840617
5875, 1.5277628331445077
8135, 1.527259274284747
2000, 1.525335586249109
66, 1.5223840450988084
2400, 1.5208006348158207
126, 1.5188035205922992
355, 1.5183172961942923
5840, 1.515785282231111
2371, 1.5141221050962594
2410, 1.5128720572674847
2431, 1.5055393887343
315, 1.5053422067041882
8775, 1.501660348770881
8465, 1.4974865024663275
86, 1.496502097494882
890, 1.4911476357415347
1745, 1.489803576817386
4980, 1.4887821730864228
145, 1.488024234117403
2420, 1.4876388359423136
491, 1.4874884520404859
305, 1.48728401829786
5585, 1.4869489373477733
8760, 1.4838149796542182
8835, 1.483574579302132
2375, 1.483449211715191
5830, 1.4827462765367496
2050, 1.4804066028689125
5600, 1.4798407826090683
5800, 1.4764895959119357
8147, 1.4751805311275752
4960, 1.4748510840444897
61, 1.4741513333927987
5850, 1.4709830131234511
4970, 1.470908197222708
5871, 1.4693861239803754
8180, 1.4679568363577387
246, 1.4678349966630082
5495, 1.4660855782814053
91, 1.4649195852680421
5845, 1.4645829249537188
2690, 1.4645752835312296
465, 1.4631291443097676
5570, 1.4629546981480244
8770, 1.46206876786174
275, 1.4614514714550526
8150, 1.4602578681906406
4340, 1.458072323633304
8800, 1.4579643363464583
1755, 1.457145510289986
8305, 1.4563475065095683
4331, 1.4550881684532269
4315, 1.455019401407566
4925, 1.4550137260949128
4990, 1.4548812214808429
8166, 1.4526970910078438
1760, 1.4520363086051047
116, 1.4515095761397956
8680, 1.450678953617873
1970, 1.4499166544735766
4931, 1.4487344336280743
5170, 1.445767643685397
8735, 1.4449972516258853
4305, 1.4438376922574636
8155, 1.439943490428606
5576, 1.4391500356448788
8695, 1.4378694420288767
5810, 1.4378515304074817
4335, 1.4371168048749212
8171, 1.4357081247040016
5630, 1.4343937587341027
2750, 1.4335748063240743
266, 1.4329106228520616
2390, 1.4325164439746916
971, 1.4317703447027696
5010, 1.4310656621485913
8720, 1.4301106641506998
4920, 1.4298093229378943
8065, 1.4295381475191524
450, 1.4291937959883607
492, 1.4288518755344084
8710, 1.425616199311339
2305, 1.4226145094822669
2035, 1.4219233382544723
2386, 1.4204121846210471
1750, 1.417745177831365
4355, 1.4157051949149986
3690, 1.414623802313851
26, 1.4142433615438024
170, 1.4138051318531526
171, 1.4138051318531526
206, 1.4127163946805918
945, 1.4069548861893488
2010, 1.4066039978263478
261, 1.405594776102559
2411, 1.4050559528192768
4950, 1.4042158340274185
1766, 1.403767613916527
1735, 1.4035216991848887
5610, 1.40318157594288
2006, 1.402549257914137
286, 1.4019205979273175
141, 1.4017170128505911
345, 1.4006280354166105
8816, 1.4006201707397394
5811, 1.4004495471194225
3665, 1.4000729028270038
4971, 1.3991727422562628
5505, 1.3982355033377702
8140, 1.396694907661105
2065, 1.3966246530779236
2020, 1.3965930488883713
5580, 1.3947238589105124
326, 1.3944284534081586
972, 1.394256393110199
510, 1.3939206545512683
4290, 1.3927767337835855
4670, 1.3920282605287908
5846, 1.3916832048990946
8480, 1.3911614301946944
4291, 1.3910551080943878
1780, 1.3904858054011577
291, 1.388465458715376
3890, 1.3883973456052883
8165, 1.3879816914390866
8130, 1.3876480637066502
8450, 1.387637972726362
5615, 1.3871437819403876
8490, 1.3871344178964158
5611, 1.3863165616995587
8176, 1.3862033966989067
51, 1.385997959770793
5835, 1.3858714863228823
4946, 1.3857731322967957
5520, 1.385182776312432
8081, 1.384765184839891
8831, 1.3844604428514686
731, 1.3840836770164544
2407, 1.3840375784262144
4945, 1.384004927322381
2705, 1.3831041518277511
2405, 1.3827187362805513
41, 1.3824551725329095
8515, 1.3822814387641218
493, 1.3822474018490412
3685, 1.381544051767543
8085, 1.3814652782787493
101, 1.379906540319531
5535, 1.3797025062121175
8691, 1.3792497506543193
4995, 1.3791324088468846
8511, 1.3790394343435202
5200, 1.3786213256771687
485, 1.3780249102814672
2380, 1.3779476416607581
2726, 1.3777857563026745
2365, 1.37773062092865
2720, 1.3775167934546946
62, 1.377234063456476
5605, 1.377020883362245
8385, 1.3769155185535529
2291, 1.3768235537767075
910, 1.376503825592535
2350, 1.3762297838154571
3000, 1.3761357079345575
1985, 1.3758313482183135
1791, 1.3756818110842064
1775, 1.3748232194000758
8787, 1.3741315628912398
8475, 1.3738811149011187
106, 1.3736333327061896
8751, 1.3734957623900486
8350, 1.3732473737015207
5230, 1.373182712177034
3611, 1.3730135256598177
8070, 1.3726121719189184
4660, 1.3724470875904742
8131, 1.3723329611892594
8725, 1.3720584554090791
180, 1.3716664026993777
4295, 1.3714087595178985
8805, 1.3712692845320902
181, 1.3708022210222182
5872, 1.3706964745345047
301, 1.370536281642043
4300, 1.3698743871628873
6210, 1.369081175678759
991, 1.3684492868674232
4281, 1.3682152106207885
3450, 1.3681855536503895
965, 1.3681557189556237
725, 1.3681542016153267
2340, 1.3679565878684388
4940, 1.3670965908382195
512, 1.3669874862977658
3650, 1.3664554744672661
5851, 1.3661073790484308
4675, 1.365871197916122
5040, 1.3652244048116486
8196, 1.3651591727612526
5070, 1.365059818422102
5815, 1.3649597884069695
5210, 1.364734524385491
87, 1.3639385505263435
3686, 1.3638140813280126
2425, 1.363751761930553
2645, 1.3636024478096596
4962, 1.3635425367996303
2326, 1.363528932677716
5206, 1.3634774188703973
1840, 1.3632121742508343
920, 1.3626063387712795
2432, 1.3625942204924526
8111, 1.3623827344802248
281, 1.362347586624725
5805, 1.3618159567142358
6225, 1.3613769977714099
6255, 1.3611280059893014
5620, 1.3610243519418526
8055, 1.3603947897007707
4985, 1.3603760464580221
2715, 1.3602679899231007
4530, 1.3602399883588312
5625, 1.3597207146075267
5587, 1.3592833935986024
