Hessian ranking for layer encoded_vector (param idx, rank)
670, 0.9091681698337197
654, 0.7855449039489031
410, 0.6703126064094249
794, 0.6378854947979562
669, 0.612898321589455
1048, 0.5657893840689212
78, 0.5494317373668309
653, 0.5324297123588622
796, 0.5030574628835893
1052, 0.4298350843600929
665, 0.4279520595446229
1045, 0.414218673016876
330, 0.40184746915474534
1049, 0.38948734872974455
77, 0.3788325969944708
649, 0.3734063820447773
792, 0.36787406777148135
1098, 0.36259270503069274
622, 0.3625591789605096
1093, 0.3565379773499444
30, 0.3565361778018996
282, 0.3445591415511444
1047, 0.33484298968687654
394, 0.33293903970115934
702, 0.33234593662200496
664, 0.314882570062764
858, 0.29954177323088516
1050, 0.2952030529268086
73, 0.29267166944919154
798, 0.2872197323013097
26, 0.274233171105152
1561, 0.2733634575124597
1178, 0.2726407786249183
1690, 0.27251781963786925
797, 0.272393973369617
648, 0.2721688824822195
286, 0.26366915900143795
790, 0.2563165529863909
1685, 0.25611326441867277
346, 0.25506781798321754
414, 0.25497141148662195
789, 0.2495570949104149
621, 0.24573678188608028
1042, 0.24143649428151548
799, 0.23960846703266725
1032, 0.2310516081051901
283, 0.22768878610804677
701, 0.22525872651021928
860, 0.22417757612129208
922, 0.22261111350962892
1173, 0.22208846302237362
278, 0.2217294130823575
1545, 0.21796547732083127
280, 0.21720995713258162
332, 0.21718415763461962
714, 0.21430612438916796
856, 0.21173498906136956
153, 0.20902704884065315
1566, 0.208484106202377
407, 0.20689126336947083
1097, 0.20248559379251674
786, 0.20111474866280332
1691, 0.20044952019816265
328, 0.1994917856354732
1669, 0.19645775377284735
281, 0.19528445962350816
1689, 0.19525557418819517
413, 0.19466634379932657
1674, 0.1945684007878299
72, 0.19394284806912765
1565, 0.19195110321743414
350, 0.19155609657173045
1562, 0.18386963788361754
1181, 0.18120357845327817
717, 0.1773883922578534
617, 0.17234141469816677
408, 0.17101946263574064
785, 0.17050002753239824
1033, 0.1697594324941747
347, 0.16775378439342603
793, 0.16694999899482355
1096, 0.16559585696086287
1089, 0.1634357632137835
126, 0.16309073865704704
1242, 0.16123883606633171
344, 0.16052559477975592
1675, 0.15999543073121458
325, 0.15984572991874302
391, 0.15943355260969838
1559, 0.15876166878661024
1099, 0.15824652250375948
697, 0.15797962993383408
1036, 0.15774196677375585
663, 0.1574780625232961
1550, 0.15698714851168916
795, 0.15598465855873656
1557, 0.15568277868442237
397, 0.15548310446320102
853, 0.15514251477725338
1090, 0.1550119233870646
1673, 0.15404122840845957
1040, 0.1497940531698987
154, 0.14878321463766042
1029, 0.14676077879266813
1555, 0.1449813728686422
137, 0.14465574303176254
844, 0.1420753886050079
1237, 0.1410119293432217
718, 0.13944964041002095
345, 0.13891423351719823
647, 0.13782294356497005
1031, 0.1362241482711397
144, 0.13442814641166478
1101, 0.13392780264257453
412, 0.1336236682254821
1554, 0.13241639451734954
342, 0.13103349937591702
926, 0.13101391564123333
1066, 0.13067455816781148
206, 0.13011967819329584
1169, 0.1299298873054795
1543, 0.12693634085007943
1682, 0.12646566197508946
1560, 0.12615352132706903
1245, 0.1256501732277684
616, 0.12561641266802326
1061, 0.1251272802182939
392, 0.12470230710459873
924, 0.12427821464370936
920, 0.12423273915192112
405, 0.12243073439458385
791, 0.11934555732295848
1564, 0.11900918325409293
398, 0.11897899389805389
402, 0.11825311277061701
1693, 0.1180950625857804
1539, 0.11674690630752593
696, 0.11514837974391412
362, 0.11468547131516971
846, 0.11467546148924157
24, 0.11395265744067729
1041, 0.11295731482096016
411, 0.11225811117765261
1694, 0.1119738087982114
842, 0.11132608381012687
838, 0.11093018486280926
442, 0.10947799645873602
1544, 0.10938890266697854
709, 0.10917961676022969
333, 0.10833346226718277
1552, 0.1076034092984628
787, 0.10752860803040676
925, 0.10682458730298094
110, 0.10620445611493778
890, 0.10593310861440841
19, 0.10391768152476288
474, 0.103903612063732
156, 0.10382695670341491
198, 0.10296646039932966
1100, 0.10229081101715565
705, 0.10181322904827539
138, 0.101610620302381
329, 0.10139906140102539
1553, 0.10134866461157799
1666, 0.10117073322180659
590, 0.10028503214562079
921, 0.09991618106141686
774, 0.09842248205677606
157, 0.09826499904738739
1026, 0.09824434595066123
1692, 0.09781276353169233
1681, 0.09659315246972255
857, 0.09645810183428694
396, 0.09530177715350874
27, 0.09529571543680504
784, 0.0951743963341869
71, 0.09490213605749886
1182, 0.09296605517738499
128, 0.09288847574498504
458, 0.09224082448781701
1102, 0.09220147744053975
409, 0.09174224216258153
894, 0.09171760865137912
1233, 0.09147455160564277
285, 0.09090411392389797
780, 0.09047049970104126
1095, 0.08981974388007075
1538, 0.08937470929231495
90, 0.08893175103003159
1541, 0.08763034164439887
25, 0.08685513120144606
205, 0.08646052075346233
861, 0.08633858465327648
1064, 0.08615831105271354
834, 0.08604065726103727
914, 0.08571336654131301
1068, 0.08568412165914197
840, 0.08513963038785732
28, 0.08509732050879393
204, 0.08506578905507922
335, 0.08497425993846264
400, 0.0843127251137048
970, 0.08365626886370592
1210, 0.083533370619989
284, 0.0833190277335234
272, 0.08328227043239167
159, 0.08282837957085576
1677, 0.08268882959964685
1536, 0.08238647226244211
334, 0.08200356326415204
310, 0.08196990820579231
1177, 0.08149696001055418
918, 0.0814000457758084
1678, 0.08131948515074328
395, 0.08117522610700689
315, 0.08107097839820199
863, 0.08025860388079309
893, 0.07983853251789697
843, 0.07976392342243344
393, 0.07926109677646309
314, 0.07867039513075724
1676, 0.07863631621876266
29, 0.07660729189228732
349, 0.07446924204123206
389, 0.07380107653443702
406, 0.0737554340303177
469, 0.0736258612232632
1205, 0.07305437476316001
1629, 0.07301134932276909
140, 0.07155364512891538
1665, 0.07151676845228394
847, 0.07128942169219954
302, 0.0708292928757146
318, 0.07047105673700571
919, 0.07039872658060631
1226, 0.07020089190336876
1548, 0.0687509563867934
538, 0.06836510050925426
1563, 0.06808642647229135
141, 0.06799937668256462
74, 0.06716673666596762
109, 0.06654628818432684
974, 0.06538539443863556
1213, 0.06509586826723535
125, 0.06504861998837441
927, 0.06493899278575554
1088, 0.06492300765239634
401, 0.0645578083494911
1549, 0.06450976409541909
203, 0.0643911926454166
1617, 0.06434618063940434
336, 0.06428936970041832
1610, 0.0640244159451413
826, 0.06397804189327871
615, 0.0636105917947134
1057, 0.0635571636739769
1597, 0.06346299723736593
339, 0.06322551736957394
1051, 0.062405845819739625
779, 0.06204217384220101
1246, 0.061789163017238025
839, 0.061616420542122796
273, 0.061597922071996436
275, 0.06122628280718345
94, 0.060910086482181214
287, 0.06043101070827106
589, 0.060370451159542426
348, 0.05989757760835346
915, 0.059594212245428935
207, 0.059558107663178816
185, 0.05936738562013488
201, 0.05904027392534772
824, 0.05885328332806239
403, 0.05865730674850056
105, 0.0585312238545157
695, 0.05830970954411896
938, 0.05773070790746715
783, 0.05772532014816534
923, 0.057705819461261854
707, 0.05756075622775825
326, 0.05755989931822114
912, 0.0573785625747405
828, 0.05712705021142028
143, 0.056841180554329185
108, 0.056278234129422344
16, 0.05563324895047117
365, 0.05552904874639353
1065, 0.05548461445141584
1221, 0.05526489876501728
88, 0.05517775191401597
832, 0.05513917747884989
833, 0.05503036860682187
