Gradient ranking for layer encoded_vector (param idx, rank)
286, 0.20743456482887268
283, 0.14595140516757965
350, 0.13819748163223267
347, 0.1209079772233963
285, 0.10900509357452393
786, 0.10223449021577835
410, 0.09927158057689667
284, 0.08960242569446564
349, 0.08709274977445602
796, 0.08195944130420685
785, 0.07829546928405762
795, 0.07686815410852432
798, 0.0756622701883316
348, 0.07153341174125671
318, 0.0696665495634079
790, 0.06736762076616287
281, 0.06470955908298492
315, 0.06369633227586746
278, 0.06341147422790527
412, 0.06257645040750504
273, 0.05863932520151138
405, 0.0563049241900444
282, 0.05335110053420067
1048, 0.05331570655107498
317, 0.05247003212571144
926, 0.05222151428461075
782, 0.050393037497997284
1173, 0.05005219206213951
834, 0.049880191683769226
337, 0.04920097067952156
316, 0.0490887425839901
26, 0.04907029867172241
408, 0.04831733554601669
1093, 0.04649364575743675
206, 0.04610971361398697
1685, 0.04560807719826698
27, 0.04524512588977814
793, 0.04457992687821388
346, 0.043572526425123215
144, 0.04333114996552467
1178, 0.04218539595603943
1052, 0.04214086756110191
394, 0.04163341224193573
287, 0.04141554608941078
799, 0.039378464221954346
1047, 0.039047613739967346
670, 0.038061950355768204
791, 0.03764244168996811
779, 0.037464290857315063
203, 0.037429772317409515
411, 0.03655292093753815
654, 0.03599478304386139
305, 0.035364944487810135
334, 0.03497060015797615
194, 0.03479030728340149
30, 0.03434113785624504
922, 0.03360341489315033
1669, 0.03354306146502495
770, 0.03342793509364128
1691, 0.03210267797112465
1097, 0.03180737793445587
780, 0.0317578986287117
204, 0.030874770134687424
1559, 0.030850673094391823
1689, 0.030387554317712784
838, 0.03002878837287426
128, 0.029749926179647446
789, 0.029534775763750076
157, 0.029357044026255608
1237, 0.029202112928032875
784, 0.028998134657740593
1690, 0.028987152501940727
769, 0.02893189713358879
1181, 0.02828395925462246
193, 0.028039727360010147
330, 0.02777632139623165
1096, 0.027551136910915375
709, 0.02742672711610794
154, 0.027399873360991478
1050, 0.026840021833777428
1042, 0.02659771777689457
342, 0.02643771469593048
669, 0.026235241442918777
846, 0.02584957890212536
469, 0.025822028517723083
474, 0.025674471631646156
797, 0.025518503040075302
1099, 0.0253840833902359
665, 0.025242218747735023
332, 0.024959683418273926
1045, 0.024858660995960236
302, 0.024710213765501976
833, 0.024664606899023056
31, 0.024114802479743958
1675, 0.024071864783763885
28, 0.024063579738140106
205, 0.023914972320199013
1242, 0.023890648037195206
280, 0.023756487295031548
1566, 0.023730017244815826
297, 0.023561295121908188
156, 0.02347666770219803
792, 0.02346559427678585
1177, 0.02345321513712406
794, 0.023070843890309334
1553, 0.023053966462612152
653, 0.022894028574228287
78, 0.02282448671758175
1673, 0.022768603637814522
1554, 0.0226658396422863
331, 0.022514736279845238
344, 0.022460542619228363
839, 0.022407233715057373
351, 0.02204170823097229
781, 0.021771997213363647
1543, 0.021760525181889534
1101, 0.021604115143418312
272, 0.02126820757985115
1169, 0.02110273763537407
914, 0.020732898265123367
843, 0.02068929746747017
153, 0.02053241617977619
335, 0.020488418638706207
141, 0.020315075293183327
94, 0.020276332274079323
1674, 0.02014967054128647
847, 0.020063167437911034
1182, 0.019903555512428284
1560, 0.019704129546880722
649, 0.019635776057839394
1245, 0.019626706838607788
1617, 0.019523954018950462
974, 0.019514847546815872
138, 0.019397711381316185
923, 0.01879558339715004
1693, 0.018627271056175232
322, 0.018607674166560173
91, 0.018284576013684273
1550, 0.01818682812154293
406, 0.017985479906201363
1049, 0.017983872443437576
774, 0.017949657514691353
1557, 0.017910610884428024
1041, 0.01775508001446724
198, 0.017621183767914772
942, 0.017559105530381203
787, 0.017505517229437828
919, 0.01743515394628048
1032, 0.01725393906235695
1102, 0.017163844779133797
927, 0.01710069738328457
714, 0.01709742099046707
862, 0.016982022672891617
345, 0.01687152311205864
858, 0.016638386994600296
622, 0.016612976789474487
1036, 0.016469476744532585
844, 0.016367780044674873
1031, 0.016347143799066544
402, 0.016283277422189713
1233, 0.01626637950539589
140, 0.01619465835392475
1692, 0.016191694885492325
1682, 0.016088632866740227
1561, 0.01592474989593029
397, 0.015787145122885704
1585, 0.015773966908454895
442, 0.015708550810813904
398, 0.015705784782767296
403, 0.01562981680035591
362, 0.015327168628573418
702, 0.01522856205701828
1205, 0.015128805302083492
1552, 0.015108015388250351
970, 0.015084810554981232
90, 0.015054307878017426
415, 0.014873421750962734
1565, 0.014846278354525566
147, 0.014758170582354069
124, 0.014749412424862385
1666, 0.014739892445504665
395, 0.014722920022904873
802, 0.014688422903418541
918, 0.014686057344079018
938, 0.014531095512211323
137, 0.014416039921343327
