Hessian ranking (weighted sum * eigenvalue) for model (param idx, rank)
4, 840.4049050140893
1, 702.3190263696015
20, 674.9864017628133
52, 648.5120127359405
68, 487.69114151294343
742, 449.45072796568274
12, 409.1166011854075
726, 383.90058842580765
862, 311.16433522920124
28, 305.3947856677696
2, 305.0966305639595
741, 305.0405796379782
9, 299.94882404292
868, 287.8833489436656
34, 282.0393860067561
3, 273.96744154859334
11, 273.14922365066013
150, 272.8548019286245
725, 262.0164807746187
22, 260.8783122682944
0, 260.47379909595475
60, 253.8402804339421
25, 245.7873911028728
866, 240.40184297645465
44, 239.4821843460668
870, 231.22091896366328
871, 230.5875660404563
737, 211.44291991181672
482, 198.95414661616087
149, 190.3671792880632
33, 189.78430568007752
36, 186.86795311106835
721, 184.6105767498375
13, 183.13926032930613
65, 181.06955641321838
694, 177.5981824058108
867, 176.7686393870972
858, 165.8941930970177
774, 162.74678656714968
736, 150.82638942962512
49, 146.98246111627668
42, 144.70507075457135
145, 140.54470344353467
869, 140.40361296688206
402, 136.70442197215743
864, 132.76025659928564
720, 132.73953104624525
910, 132.16188998310827
857, 127.5335654891096
1250, 124.2417131906841
916, 121.71346553754302
1170, 121.20490919891745
693, 121.19355707592331
1120, 114.18600586242974
1637, 111.89078534115106
773, 111.06759511842392
1762, 110.92758448701352
786, 110.69410653132945
404, 109.74402508605272
789, 107.79934847226832
357, 103.53729062899947
1757, 101.09663451416418
1245, 98.39779309020378
930, 98.26532082742779
270, 97.04813129967079
856, 96.98612508329097
863, 96.81350808299612
355, 95.28107742825523
846, 94.92058100691065
998, 94.29248129366897
994, 93.1262073861435
1165, 92.93477641046047
919, 91.60875654482516
144, 91.20336835220223
486, 89.71923899836838
225, 87.32328846864402
466, 86.07596823305357
1634, 85.88960970775224
689, 85.44616026105359
852, 83.8723701160634
276, 83.7913773424516
1124, 83.0892380460864
1763, 81.78353105811402
1741, 81.36181913789187
1253, 81.14353554393165
1746, 80.9487560641719
477, 79.7081019259058
790, 79.65092028584331
996, 79.61502834549174
419, 79.42348643171135
400, 79.18250618886668
102, 79.07132464578171
421, 78.79339592624456
769, 78.29774395283312
278, 77.54014657950029
861, 76.97647133539431
1314, 76.67985362900072
480, 76.67033606418408
735, 76.5897240913473
1761, 74.1771996836178
990, 74.09956731944692
932, 73.99855926062446
356, 73.6741268595215
918, 72.40790739050135
358, 72.3060075615067
1119, 72.02887671580538
928, 71.4978319335496
1636, 71.22517069242895
1121, 70.2191843201872
1117, 69.38575815359945
485, 69.37700653087813
1747, 69.103136750462
30, 68.53902055346407
1309, 68.16346626757877
719, 67.8339179106988
484, 67.39592444314621
1631, 67.28567317698617
1629, 65.62553999340162
915, 65.29701744625345
41, 64.89520025788806
1633, 64.89150170702487
777, 63.56680383114144
1169, 63.52531561953947
98, 62.338759697042406
1745, 62.31567388540134
906, 62.0674290494062
851, 62.04893996428291
1171, 61.94046451174654
209, 61.620111126452684
688, 61.38716158596799
1173, 61.137136195953644
1625, 60.79363970390841
859, 60.077510877046734
32, 59.99621227895841
397, 59.86973814299563
1241, 59.80181793496013
354, 58.554163807071745
279, 58.476541852462105
855, 58.14350652392022
1122, 58.05889715976082
1317, 57.74016516903066
1638, 57.126372003694996
1617, 56.949629162438214
275, 56.89652039250359
1161, 56.880364160984755
997, 56.74439918692224
1624, 56.572765134842484
481, 56.51204846985638
768, 56.26022711745463
198, 54.729228066978976
905, 53.12596457195468
407, 52.8332897570217
422, 52.67418863391504
51, 52.411006358132
277, 52.13950559713703
216, 51.438449413049966
1172, 51.077406800061
999, 50.53048741747625
911, 50.130417735665105
904, 49.9057705005398
925, 49.85895157116465
662, 49.711435544420965
1626, 49.23946351840277
986, 48.89059068672941
