Hessian ranking for layer conv2d_0_m (param idx, rank)
4, 0.9773778915405273
1, 0.798436164855957
20, 0.7766727209091187
52, 0.7326808571815491
68, 0.6320371031761169
12, 0.5131310224533081
11, 0.3687950074672699
3, 0.33915388584136963
28, 0.3336491882801056
60, 0.31851673126220703
22, 0.30841100215911865
0, 0.2729521095752716
25, 0.2674742639064789
44, 0.24950432777404785
9, 0.2456655651330948
13, 0.21534334123134613
65, 0.19442887604236603
33, 0.15293468534946442
49, 0.15231548249721527
36, 0.13577640056610107
2, 0.09476201236248016
51, 0.07104238122701645
34, 0.05697387456893921
41, 0.05225566029548645
53, 0.04841162636876106
30, 0.045362282544374466
19, 0.04536180570721626
21, 0.03937064856290817
42, 0.03711404651403427
26, 0.02375183254480362
17, 0.022982150316238403
37, 0.022440306842327118
32, 0.015521102584898472
27, 0.014845343306660652
46, 0.013888648711144924
59, 0.01341341994702816
31, 0.013356144540011883
57, 0.010856537148356438
10, 0.009072045795619488
24, 0.006843569688498974
39, 0.006181665696203709
8, 0.004453670233488083
58, 0.004336312413215637
5, 0.003944802563637495
61, 0.0037056729197502136
48, 0.00283930916339159
40, 0.0021045655012130737
63, 0.0007932275766506791
15, 0.00026262275059707463
16, 0.0
7, 0.0
6, 0.0
14, 0.0
71, 0.0
18, 0.0
23, 0.0
69, 0.0
67, 0.0
66, 0.0
64, 0.0
62, 0.0
56, 0.0
55, 0.0
54, 0.0
50, 0.0
47, 0.0
45, 0.0
43, 0.0
38, 0.0
70, 0.0
29, 0.0
35, 0.0
