Hessian ranking for layer conv2d_0_m (param idx, rank)
4, 2.163703989237547
1, 1.9643645193427801
33, 1.7005214747041464
52, 1.6577635817229748
20, 1.5223920941352844
28, 1.3457204210571945
25, 1.3374052857980132
68, 1.3193396423012018
9, 1.2287280969321728
12, 1.0897210938856006
44, 0.9939673560438678
2, 0.9385293466039002
11, 0.8874667324125767
36, 0.8641350967809558
60, 0.8468638323247433
22, 0.8438341720029712
65, 0.7749655800871551
13, 0.7191682732664049
34, 0.6945303475949913
3, 0.62325176037848
49, 0.6081558312289417
42, 0.47661915281787515
0, 0.4494345039129257
41, 0.252005681861192
31, 0.223401861730963
37, 0.21603785641491413
51, 0.21434378274716437
30, 0.20188189057080308
53, 0.17188591905869544
26, 0.14521189825609326
32, 0.13515972543973476
17, 0.1122023245843593
57, 0.10889811541710515
19, 0.10887908656150103
40, 0.098928133957088
21, 0.09589593391865492
10, 0.08477353461785242
5, 0.08301270566880703
27, 0.08048292656894773
8, 0.06433948106132448
46, 0.05403587396722287
58, 0.03716940083540976
24, 0.03183067541976925
59, 0.029176998476032168
39, 0.025224071519915015
48, 0.022427845367928967
63, 0.008514874323736876
61, 0.007252087216329528
15, 0.003822291713731829
14, 0.0
6, 0.0
16, 0.0
7, 0.0
71, 0.0
18, 0.0
23, 0.0
69, 0.0
67, 0.0
66, 0.0
64, 0.0
62, 0.0
56, 0.0
55, 0.0
54, 0.0
50, 0.0
47, 0.0
45, 0.0
43, 0.0
38, 0.0
70, 0.0
29, 0.0
35, 0.0
