Hessian ranking (max sum eigenvector components) for model (param idx, rank)
1, 0.8976533884223534
34, 0.8457619412751588
742, 0.6328889126324015
741, 0.5226877525095028
9, 0.5155599783341704
3, 0.45372212472427065
0, 0.4522759163929968
22, 0.4138540269942841
68, 0.38548596200416796
870, 0.3728427657270418
11, 0.3340165226469864
149, -0.3087805180668678
737, 0.29835502230153355
25, 0.2601610880979766
866, 0.2473761223741141
36, 0.23872612610393187
482, 0.22923758462387422
33, 0.19444760894938323
858, 0.18963954554712514
44, 0.1853947405895573
13, 0.16689507870267306
868, 0.16051456062480318
726, -0.1536156259496546
789, -0.14301137711948003
919, 0.1366552315290983
869, 0.13601615440430273
276, 0.13555661268060384
60, 0.12031815377905633
910, 0.11223395972897798
1762, 0.11147219053640425
852, 0.10780703434690316
31, 0.10711880982188715
1121, 0.10328721093745774
864, 0.10119774249480706
480, 0.09652474193460914
887, 0.09638424841894513
994, 0.09632104395306151
30, 0.09520634759662627
372, 0.09388870437450875
279, -0.09260431432534663
358, 0.09096886777151714
1122, 0.08873517935686598
1250, 0.08864205248753497
357, 0.08845925304203209
990, -0.08815895865183442
1634, 0.08691321479898248
4, 0.08674349055844255
878, 0.08630981239994107
996, -0.08623546143451805
277, -0.08296839994718488
911, -0.08075880288987716
477, -0.08068278763701842
906, -0.08035345277745408
998, 0.07826316655087553
720, 0.07697076620475547
225, 0.0766432058626418
1637, 0.0748876684293968
1253, 0.07385094316901517
275, 0.07298500560566831
404, 0.07225963072411692
847, 0.07176104705967466
52, 0.07020342208641794
873, 0.06953283961145489
354, 0.06680758212473242
661, -0.06588555513950713
20, 0.06572730535958737
905, 0.06520656593178896
932, 0.06417228244031473
863, -0.06393017869153622
1173, -0.0635938105768734
407, 0.06342227223526425
389, -0.06206523051125457
1761, 0.061595954369521616
478, -0.05935239079380655
862, -0.05520209985707054
405, -0.055167158044350906
420, -0.054431094387424106
1615, 0.05221830949043953
1633, 0.05213367612238562
915, 0.05180693066452102
1120, -0.051535809087827955
997, 0.05151217903584762
861, -0.05077061238295305
387, 0.0500381124139089
846, 0.04989494967530134
2, -0.04970921604732351
851, 0.04760732796171291
999, 0.04655394411748494
485, 0.04644593915728291
1117, 0.0458546670454322
1765, 0.04540696599523586
102, 0.045219982953503615
421, -0.04424196648663446
12, 0.04380852863682566
857, 0.04374795905614659
1629, 0.04314042056345001
1757, 0.042808014202804834
774, 0.040557834884360267
840, -0.04014763634127092
883, -0.0390886729733691
736, -0.038860007090746745
925, 0.038477558599871925
986, 0.03717853966899547
1627, 0.036886279129430474
1636, 0.03641114987128463
1113, 0.036140149307691265
422, -0.03543999774088473
419, -0.035260109503656226
356, -0.03498133570055259
355, 0.034018664280411025
1045, -0.034008635441557356
928, -0.032623973692882224
209, -0.03245050077368278
486, 0.032026084418072934
735, 0.03195370414490989
867, -0.03045876363624908
917, -0.030400083390072663
51, 0.030278665568556663
1171, -0.030192818117343187
871, -0.029876918466948295
985, -0.029861348811823736
474, 0.029741503594541384
1273, 0.02959177992894229
1617, -0.029169891417008653
1746, -0.028624128332809973
992, 0.027017075051916473
366, 0.026825610103989754
28, 0.02632535167653441
42, -0.026196368227484335
409, 0.0258066499248047
1245, 0.0257716846345089
414, 0.02559714896804846
688, -0.025572105396105743
1631, 0.02549428042962487
1108, 0.025146050296683074
375, 0.024809129621366714
874, -0.024413321493698573
229, 0.024312673034990698
1103, -0.023650490521056194
859, -0.023489867280692498
1621, -0.023326995867533583
879, -0.023163920218015544
32, -0.02282260060051159
991, -0.022539744411796837
935, 0.02223516179535267
1249, 0.022184448599403883
265, -0.02215391339557971
787, -0.02205627589444892
1685, -0.021896272082480083
374, -0.021895694691236242
469, -0.021888702087286774
270, 0.021445030605595106
216, 0.021371757023555593
1301, -0.021066892331605833
988, 0.020085738199446812
1172, -0.0198602275983873
150, -0.019809811181471196
1086, 0.019751615599696994
473, 0.01915240070262599
475, -0.019112325645119475
719, -0.0189736932350524
1632, -0.01871557594941703
660, -0.017522292721269855
437, -0.017423890010989665
457, 0.017346333990782035
790, 0.017215348573559247
198, -0.017132692889481112
271, 0.017116538716884747
1628, 0.01691057066284335
101, 0.016535152486979232
196, 0.016514007658109287
654, 0.016299555787373708
182, 0.016160623064227365
856, 0.01613393306554766
143, -0.01595686103508863
1764, 0.015921216247875375
213, -0.015851634419049895
359, -0.01529381808554815
1124, 0.014996822572110723
694, -0.014823162537922064
390, -0.014629556761363585
93, -0.014556448515993924
212, 0.014502675380552426
1624, 0.014308155970903513
933, -0.014228904162567994
842, -0.014091269082922877
406, -0.013698941426836368
782, -0.013685641464471994
855, -0.01365393941015845
721, -0.013651010833016274
1091, 0.013592573583855044
479, -0.01350111075720025
1656, -0.013419858929238207
1753, 0.01337709451637573
609, 0.013343472875867228
231, 0.013289714800568566
397, 0.013079035419935523
687, 0.013058423751875381
768, -0.013049754668664475
257, 0.013022698597913648
884, -0.012926651853613774
788, 0.012794868170702415
1639, 0.012733560997022834
1701, 0.012334905641750597
1135, -0.012216417213314172
1620, 0.012188464514412078
97, 0.01196944722187068
1668, 0.0118417211594532
423, 0.011742473326730868
466, -0.01163346590987856
394, 0.011608303243231494
604, 0.011557424686932626
955, 0.011382356132309146
65, 0.011378647137256562
953, 0.011334506026292337
546, -0.011326670735858288
483, 0.011260769402561419
1169, 0.011209801421884238
776, 0.011075213721051365
1689, 0.011066153773182506
19, 0.011045460369344421
