emd, seed
1.221, 1193976549
1.003, 2064719489
1.375, 6849925
0.999, 1822556975
1.269, 2078797010
1.474, 679775819
1.086, 1785518820
1.296, 854141105
1.366, 2008102734
1.037, 317331638
1.038, 1589076274
1.044, 1523643930
1.229, 353440445
1.143, 436657949
1.121, 1994079540
1.287, 1860481001
1.673, 1207866501
1.547, 1747954292
1.283, 536787941
1.263, 499893397
0.999, 434214399
1.038, 126687014
