emd, seed
0.940, 1193976549
0.995, 2064719489
0.926, 6849925
0.919, 1822556975
0.906, 2078797010
1.011, 679775819
0.895, 1785518820
0.929, 854141105
0.951, 2008102734
0.971, 317331638
0.888, 1589076274
0.872, 1523643930
1.002, 353440445
0.907, 436657949
0.893, 1994079540
1.002, 1860481001
0.964, 1207866501
1.062, 1747954292
1.067, 536787941
0.970, 499893397
0.908, 434214399
0.936, 126687014
