model,mean_trace_conv,mean_trace_enc_dense,mean_trace_dec_dense,mean_trace_convtrans2d1,mean_trace_convtrans2d2
eol_single_batch,1796.9332565307618,7.503147338628769,8.483223128318787,1153.5956107521058,715.4701447868347
eol_single_batch1,1796.933297729492,7.503147338628769,8.48322313785553,1153.5956104469299,715.4701368618012
bol_single_batch,1791.7492175292969,7.666960246562958,8.473000202178955,1150.2662017822265,714.2198864269257
bol_single_batch1,1791.7492211914061,7.666960246562958,8.473000202178955,1150.2662030410766,714.2198868751526
eol_original_single_batch,1796.9332614135742,7.503147348165512,8.483223128318787,1153.5956033706666,715.4701408195496
eol_10minibatch,0.6339814910292625,6.699565761089325,8.450571992397307,1417.116131362915,767.8264812469482
bol_10minibatch,0.6529378446936608,7.01648465871811,8.500916666984558,1415.7143516159058,767.8440316772461
bol_10minibatch,0.6529378452897072,7.01648465871811,8.500916666984558,1415.7143558502198,767.8440299987793
bol_10minibatch,0.6529378443956375,7.01648465871811,8.500916666984558,1415.714353504181,767.8440286254882
bol_minibatch500,66.22716988563538,8.831355602741242,5.2195866632461545,24.15148783683777,31.01453646659851
