emd, lr, lr_t0, wd, batch_size
1.059, 0.010, 100, 0.010, 512
1.102, 0.010, 100, 0.010, 1024
1.108, 0.010, 100, 0.001, 1024
1.100, 0.010, 100, 0.001, 512
1.020, 0.010, 50, 0.010, 512
