(1, 0)
(48, 0)
(1165, 0)
(33, 0)
(9, 0)
(50, 0)
(1, 1)
(1629, 0)
(474, 0)
(16, 0)
(33, 1)
(7, 0)
(1632, 0)
(865, 0)
(25, 0)
(993, 0)
(15, 0)
(32, 0)
(346, 0)
(1638, 0)
(64, 0)
(1757, 0)
(1634, 0)
(1741, 0)
(477, 0)
(0, 0)
(0, 1)
(2, 1)
(9, 1)
(864, 0)
(481, 1)
(866, 0)
(4, 1)
(1171, 0)
(13, 0)
(870, 0)
(1175, 0)
(1627, 0)
(400, 0)
(13, 1)
(480, 0)
(25, 1)
(71, 0)
(1168, 0)
(474, 1)
(482, 0)
(486, 1)
(63, 0)
(1755, 0)
(1693, 0)
(17, 1)
(178, 0)
(349, 0)
(996, 0)
(29, 0)
(484, 0)
(98, 1)
(61, 0)
(1117, 0)
(1752, 0)
(1767, 0)
(475, 0)
(1166, 0)
(410, 0)
(1120, 0)
(1160, 0)
(1629, 2)
(992, 0)
(12, 1)
(1170, 0)
(994, 0)
(1174, 1)
(1636, 0)
(49, 1)
(1099, 0)
(18, 1)
(1169, 0)
(538, 0)
(93, 0)
(1114, 0)
(1754, 0)
(55, 0)
(1630, 0)
(868, 0)
(1760, 0)
(351, 0)
(1661, 0)
(866, 1)
(863, 0)
(985, 0)
(998, 0)
(1633, 1)
(352, 0)
(23, 1)
(1736, 0)
(394, 0)
(986, 1)
(1034, 0)
(1747, 0)
(861, 0)
(1631, 0)
(1115, 1)
(1739, 0)
(1162, 0)
(867, 0)
(1634, 1)
(1126, 0)
(550, 0)
(53, 1)
(478, 0)
(194, 1)
(1002, 0)
(1744, 0)
(984, 0)
(1613, 0)
(90, 0)
(98, 2)
(1742, 0)
(461, 0)
(407, 0)
(477, 1)
(350, 0)
(871, 0)
(738, 0)
(5, 1)
(34, 0)
(34, 1)
(41, 1)
(189, 0)
(402, 0)
(52, 1)
(482, 1)
(990, 0)
(353, 1)
(347, 0)
(1122, 0)
(401, 1)
(57, 1)
(28, 1)
(69, 0)
(1763, 1)
(1162, 1)
(733, 0)
(994, 1)
(1101, 0)
(1628, 0)
(413, 0)
(404, 0)
(1116, 0)
(65, 1)
(194, 2)
(102, 0)
(858, 0)
(934, 0)
(1169, 1)
(1696, 0)
(858, 1)
(356, 0)
(58, 1)
(778, 0)
(1633, 0)
(1626, 0)
(1690, 0)
(1123, 0)
(1698, 0)
(1122, 1)
(1635, 1)
(10, 1)
(1167, 0)
(989, 1)
(1104, 0)
(1616, 1)
(1766, 1)
(146, 1)
(481, 2)
(989, 0)
(541, 0)
(481, 0)
(8, 1)
(1703, 0)
(98, 3)
(737, 0)
(1617, 0)
(20, 1)
(1107, 0)
(1738, 1)
(999, 0)
(1702, 1)
(1040, 0)
(97, 0)
(476, 0)
(545, 1)
(473, 0)
(544, 0)
(12, 2)
(1121, 0)
(1677, 0)
(458, 1)
(182, 0)
(470, 0)
(600, 0)
(397, 0)
(358, 1)
(355, 0)
(1757, 2)
(1695, 0)
(21, 1)
(1750, 1)
(1670, 0)
(1046, 0)
(722, 1)
(1614, 0)
(932, 0)
(1626, 1)
(1745, 0)
(36, 0)
(859, 0)
(1761, 0)
(36, 1)
(1174, 2)
(60, 1)
(860, 0)
(1242, 0)
(198, 1)
(856, 1)
(690, 0)
(193, 0)
(145, 0)
(468, 0)
(988, 0)
(102, 2)
(730, 0)
(1170, 1)
(935, 0)
(1008, 0)
(1639, 1)
(1014, 0)
(1163, 0)
(1042, 0)
(17, 2)
(737, 1)
(485, 0)
(529, 0)
(992, 2)
(465, 1)
(1041, 1)
(368, 0)
(184, 0)
(486, 2)
(1622, 1)
(56, 1)
(1161, 0)
(1245, 0)
(1251, 0)
(1124, 0)
(1611, 0)
(997, 0)
(543, 0)
(906, 0)
(1125, 0)
(1117, 2)
(987, 0)
(1044, 0)
(1, 2)
(141, 0)
(528, 0)
(929, 1)
(603, 0)
(922, 0)
(406, 0)
(991, 0)
(1009, 1)
(4, 2)
(1625, 0)
(928, 1)
(487, 1)
(479, 1)
(784, 0)
(483, 1)
(1761, 1)
(721, 0)
(415, 0)
(31, 0)
(31, 1)
(26, 1)
(483, 0)
(414, 0)
(916, 0)
(1639, 0)
(226, 1)
(986, 2)
(480, 2)
(912, 0)
(548, 0)
(464, 0)
(1758, 1)
(348, 0)
(472, 1)
(96, 0)
(869, 0)
(602, 0)
(998, 1)
(1118, 0)
(1127, 1)
(1762, 0)
(1756, 0)
(486, 0)
(1746, 0)
(743, 0)
(920, 0)
(862, 0)
(1691, 0)
(1168, 1)
(1248, 0)
(1675, 0)
(1620, 0)
(930, 1)
(1121, 1)
(420, 0)
(60, 0)
(790, 0)
(216, 0)
(402, 1)
(1103, 0)
